,date,lhd_code,lhd_name,lga_code,lga_name,cases,state_name,state_code,country,saved_date
0,2020-01-25,X700,Sydney,11300,Burwood (A),1,New South Wales,NSW,Australia,2021-12-22
1,2020-01-25,X760,Northern Sydney,14500,Ku-ring-gai (A),1,New South Wales,NSW,Australia,2021-12-22
2,2020-01-25,X760,Northern Sydney,16260,Parramatta (C),1,New South Wales,NSW,Australia,2021-12-22
3,2020-01-27,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW,Australia,2021-12-22
4,2020-03-01,X710,South Western Sydney,12850,Fairfield (C),1,New South Wales,NSW,Australia,2021-12-22
5,2020-03-01,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW,Australia,2021-12-22
6,2020-03-02,X720,South Eastern Sydney,10500,Bayside (A),1,New South Wales,NSW,Australia,2021-12-22
7,2020-03-02,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW,Australia,2021-12-22
8,2020-03-02,X760,Northern Sydney,14500,Ku-ring-gai (A),1,New South Wales,NSW,Australia,2021-12-22
9,2020-03-03,X700,Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW,Australia,2021-12-22
10,2020-03-03,X710,South Western Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW,Australia,2021-12-22
11,2020-03-03,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW,Australia,2021-12-22
12,2020-03-03,X740,Western Sydney,17420,The Hills Shire (A),1,New South Wales,NSW,Australia,2021-12-22
13,2020-03-03,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW,Australia,2021-12-22
14,2020-03-03,X760,Northern Sydney,17420,The Hills Shire (A),1,New South Wales,NSW,Australia,2021-12-22
15,2020-03-04,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW,Australia,2021-12-22
16,2020-03-04,X760,Northern Sydney,15990,Northern Beaches (A),1,New South Wales,NSW,Australia,2021-12-22
17,2020-03-04,X760,Northern Sydney,16700,Ryde (C),4,New South Wales,NSW,Australia,2021-12-22
18,2020-03-05,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW,Australia,2021-12-22
19,2020-03-05,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW,Australia,2021-12-22
20,2020-03-05,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW,Australia,2021-12-22
