,date,state_name,state_code,country,vax_1_dose,vax_2_dose,vax_1_%,vax_2_%,population,age_group,sex,saved_date
0,2021-12-22,New South Wales,NSW,Australia,2778729,6136698,0.42322216030063126,0.9346671030793443,6565651,,,2021-12-22
1,2021-12-22,Victoria,VIC,Australia,2179811,4988019,0.40310331398146376,0.9224134519472132,5407574,,,2021-12-22
2,2021-12-22,Queensland,QLD,Australia,1685014,3510563,0.40970922557818973,0.8535893755621298,4112707,,,2021-12-22
3,2021-12-22,Tasmania,TAS,Australia,215167,405697,0.4888248230237271,0.921678343920104,440172,,,2021-12-22
4,2021-12-22,Western Australia,WA,Australia,849464,1745288,0.4016420028955384,0.8252038555483793,2114978,,,2021-12-22
5,2021-12-22,South Australia,SA,Australia,652070,1255265,0.45270063871146904,0.8714697306303805,1440400,,,2021-12-22
6,2021-12-22,Northern Territory,NT,Australia,56582,158943,0.2969077141852643,0.8340356087757319,190571,,,2021-12-22
7,2021-12-22,Australian Capital Territory,ACT,Australia,134325,341866,0.39043765641486233,0.9936896322197903,344037,,,2021-12-22
8,2021-12-22,,,Australia,535224,499834,0.8702885872428439,0.812743497518683,614996,"(16, 19)",Male,2021-12-22
9,2021-12-22,,,Australia,524777,496120,0.9035634467772984,0.8542216926716553,580786,"(16, 19)",Female,2021-12-22
10,2021-12-22,,,Australia,748384,699347,0.8504750215918906,0.7947486249374972,879960,"(20, 24)",Male,2021-12-22
11,2021-12-22,,,Australia,723964,690433,0.8697894139922916,0.8295043876089694,832344,"(20, 24)",Female,2021-12-22
12,2021-12-22,,,Australia,846490,795476,0.8810005536891098,0.8279067637495993,960828,"(25, 29)",Male,2021-12-22
13,2021-12-22,,,Australia,822224,785413,0.8694269267046488,0.830502649866555,945708,"(25, 29)",Female,2021-12-22
14,2021-12-22,,,Australia,858774,814692,0.9053268098914271,0.8588551928727075,948579,"(30, 34)",Male,2021-12-22
15,2021-12-22,,,Australia,875926,840399,0.8982824537078817,0.8618486902017409,975112,"(30, 34)",Female,2021-12-22
16,2021-12-22,,,Australia,855532,818843,0.9413419039372036,0.9009729953358281,908843,"(35, 39)",Male,2021-12-22
17,2021-12-22,,,Australia,868191,838871,0.9373920967590428,0.9057350808754698,926177,"(35, 39)",Female,2021-12-22
18,2021-12-22,,,Australia,776963,748870,0.9651234721256087,0.930227069462387,805040,"(40, 44)",Male,2021-12-22
19,2021-12-22,,,Australia,780474,758257,0.9574406225963514,0.9301860845691742,815167,"(40, 44)",Female,2021-12-22
20,2021-12-22,,,Australia,756542,733158,0.9160046736044266,0.8876918326946478,825915,"(45, 49)",Male,2021-12-22
21,2021-12-22,,,Australia,770422,751764,0.9055254989122016,0.883595576403883,850801,"(45, 49)",Female,2021-12-22
22,2021-12-22,,,Australia,754222,734322,0.9883114806942875,0.9622350755167453,763142,"(50, 54)",Male,2021-12-22
23,2021-12-22,,,Australia,775225,758544,0.9673553069307425,0.9465401192434107,801386,"(50, 54)",Female,2021-12-22
24,2021-12-22,,,Australia,717752,701970,0.9446056619591152,0.9238355818241399,759843,"(55, 59)",Male,2021-12-22
25,2021-12-22,,,Australia,734004,720244,0.9223519595474217,0.9050610960597942,795796,"(55, 59)",Female,2021-12-22
26,2021-12-22,,,Australia,681550,667530,0.9773554114844818,0.9572504699996128,697341,"(60, 64)",Male,2021-12-22
27,2021-12-22,,,Australia,711524,698266,0.9624124017838183,0.9444795370837521,739313,"(60, 64)",Female,2021-12-22
