,date,lhd_code,lhd_name,lga_code,lga_name,case_count,state_name,state_code
0,2020-01-25,X700,Sydney,11300,Burwood (A),1,New South Wales,NSW
1,2020-01-25,X760,Northern Sydney,14500,Ku-ring-gai (A),1,New South Wales,NSW
2,2020-01-25,X760,Northern Sydney,16260,Parramatta (C),1,New South Wales,NSW
3,2020-01-27,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW
4,2020-03-01,X710,South Western Sydney,12850,Fairfield (C),1,New South Wales,NSW
5,2020-03-01,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW
6,2020-03-02,X720,South Eastern Sydney,10500,Bayside (A),1,New South Wales,NSW
7,2020-03-02,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW
8,2020-03-02,X760,Northern Sydney,14500,Ku-ring-gai (A),1,New South Wales,NSW
9,2020-03-03,X700,Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW
10,2020-03-03,X710,South Western Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW
11,2020-03-03,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW
12,2020-03-03,X740,Western Sydney,17420,The Hills Shire (A),1,New South Wales,NSW
13,2020-03-03,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW
14,2020-03-03,X760,Northern Sydney,17420,The Hills Shire (A),1,New South Wales,NSW
15,2020-03-04,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW
16,2020-03-04,X760,Northern Sydney,15990,Northern Beaches (A),1,New South Wales,NSW
17,2020-03-04,X760,Northern Sydney,16700,Ryde (C),4,New South Wales,NSW
18,2020-03-05,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW
19,2020-03-05,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW
20,2020-03-05,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW
21,2020-03-05,X830,Southern NSW,13310,Goulburn Mulwaree (A),1,New South Wales,NSW
22,2020-03-06,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW
23,2020-03-06,X740,Western Sydney,12380,Cumberland (A),1,New South Wales,NSW
24,2020-03-06,X740,Western Sydney,16260,Parramatta (C),2,New South Wales,NSW
25,2020-03-06,X760,Northern Sydney,14000,Hornsby (A),2,New South Wales,NSW
26,2020-03-06,X760,Northern Sydney,15990,Northern Beaches (A),1,New South Wales,NSW
27,2020-03-07,X710,South Western Sydney,12850,Fairfield (C),1,New South Wales,NSW
28,2020-03-08,X710,South Western Sydney,14900,Liverpool (C),1,New South Wales,NSW
29,2020-03-08,X720,South Eastern Sydney,18500,Woollahra (A),1,New South Wales,NSW
30,2020-03-08,X740,Western Sydney,16260,Parramatta (C),3,New South Wales,NSW
31,2020-03-08,X750,Nepean Blue Mountains,10900,Blue Mountains (C),1,New South Wales,NSW
32,2020-03-08,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW
33,2020-03-09,X700,Sydney,11520,Canada Bay (A),1,New South Wales,NSW
34,2020-03-09,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW
35,2020-03-09,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW
36,2020-03-09,X720,South Eastern Sydney,17200,Sydney (C),1,New South Wales,NSW
37,2020-03-09,X740,Western Sydney,10750,Blacktown (C),3,New South Wales,NSW
38,2020-03-09,X740,Western Sydney,16260,Parramatta (C),3,New South Wales,NSW
39,2020-03-09,X760,Northern Sydney,14700,Lane Cove (A),1,New South Wales,NSW
40,2020-03-09,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW
41,2020-03-09,X760,Northern Sydney,18250,Willoughby (C),1,New South Wales,NSW
42,2020-03-10,X700,Sydney,11520,Canada Bay (A),1,New South Wales,NSW
