,lga_name,state_name,vax_1_%_15+,vax_2_%_15+,population_15+,date,state_code,vax_1_dose_15+,vax_2_dose_15+,country,lhd_code,lhd_name,lga_code,saved_date
0,Albury (C),New South Wales,95.0,95.0,43782.0,2021-12-20,NSW,41593.0,41593.0,Australia,X840,Murrumbidgee,10050,2021-12-22
1,Albury (C),New South Wales,95.0,95.0,43782.0,2021-12-13,NSW,41593.0,41593.0,Australia,X840,Murrumbidgee,10050,2021-12-22
2,Albury (C),New South Wales,95.0,95.0,43782.0,2021-12-06,NSW,41593.0,41593.0,Australia,X840,Murrumbidgee,10050,2021-12-22
3,Albury (C),New South Wales,95.0,95.0,43782.0,2021-11-29,NSW,41593.0,41593.0,Australia,X840,Murrumbidgee,10050,2021-12-22
4,Albury (C),New South Wales,95.0,95.0,43782.0,2021-11-22,NSW,41593.0,41593.0,Australia,X840,Murrumbidgee,10050,2021-12-22
5,Albury (C),New South Wales,95.0,93.7,43782.0,2021-11-15,NSW,41593.0,41024.0,Australia,X840,Murrumbidgee,10050,2021-12-22
6,Albury (C),New South Wales,95.0,90.5,43782.0,2021-11-08,NSW,41593.0,39623.0,Australia,X840,Murrumbidgee,10050,2021-12-22
7,Albury (C),New South Wales,95.0,85.7,43782.0,2021-11-01,NSW,41593.0,37521.0,Australia,X840,Murrumbidgee,10050,2021-12-22
8,Albury (C),New South Wales,95.0,79.9,43782.0,2021-10-25,NSW,41593.0,34982.0,Australia,X840,Murrumbidgee,10050,2021-12-22
9,Albury (C),New South Wales,94.6,72.5,43782.0,2021-10-18,NSW,41418.0,31742.0,Australia,X840,Murrumbidgee,10050,2021-12-22
10,Albury (C),New South Wales,86.2,54.6,43782.0,2021-10-04,NSW,37740.0,23905.0,Australia,X840,Murrumbidgee,10050,2021-12-22
11,Albury (C),New South Wales,89.8,61.4,43782.0,2021-10-11,NSW,39316.0,26882.0,Australia,X840,Murrumbidgee,10050,2021-12-22
12,Albury (C),New South Wales,81.3,49.2,43782.0,2021-09-27,NSW,35595.0,21541.0,Australia,X840,Murrumbidgee,10050,2021-12-22
13,Albury (C),New South Wales,76.0,44.6,43782.0,2021-09-20,NSW,33274.0,19527.0,Australia,X840,Murrumbidgee,10050,2021-12-22
14,Albury (C),New South Wales,0.6982778310721302,0.4017861221506555,43782.0,2021-09-13,NSW,306.0,176.0,Australia,X840,Murrumbidgee,10050,2021-12-22
15,Albury (C),New South Wales,0.6512493718879905,0.3529075875930748,43782.0,2021-09-06,NSW,285.0,155.0,Australia,X840,Murrumbidgee,10050,2021-12-22
16,Albury (C),New South Wales,0.589,0.303,43782.0,2021-08-28,NSW,258.0,133.0,Australia,X840,Murrumbidgee,10050,2021-12-22
17,Armidale Regional (A),New South Wales,91.8,89.8,25368.0,2021-12-20,NSW,23288.0,22780.0,Australia,X800,Hunter New England,10130,2021-12-22
18,Armidale Regional (A),New South Wales,91.7,89.4,25368.0,2021-12-13,NSW,23262.0,22679.0,Australia,X800,Hunter New England,10130,2021-12-22
19,Armidale Regional (A),New South Wales,91.5,88.9,25368.0,2021-12-06,NSW,23212.0,22552.0,Australia,X800,Hunter New England,10130,2021-12-22
20,Armidale Regional (A),New South Wales,91.4,88.2,25368.0,2021-11-29,NSW,23186.0,22375.0,Australia,X800,Hunter New England,10130,2021-12-22
21,Armidale Regional (A),New South Wales,91.1,87.4,25368.0,2021-11-22,NSW,23110.0,22172.0,Australia,X800,Hunter New England,10130,2021-12-22
22,Armidale Regional (A),New South Wales,90.7,86.0,25368.0,2021-11-15,NSW,23009.0,21816.0,Australia,X800,Hunter New England,10130,2021-12-22
23,Armidale Regional (A),New South Wales,90.2,84.0,25368.0,2021-11-08,NSW,22882.0,21309.0,Australia,X800,Hunter New England,10130,2021-12-22
24,Armidale Regional (A),New South Wales,89.7,80.9,25368.0,2021-11-01,NSW,22755.0,20523.0,Australia,X800,Hunter New England,10130,2021-12-22
25,Armidale Regional (A),New South Wales,88.7,77.3,25368.0,2021-10-25,NSW,22501.0,19609.0,Australia,X800,Hunter New England,10130,2021-12-22
26,Armidale Regional (A),New South Wales,86.4,71.8,25368.0,2021-10-18,NSW,21918.0,18214.0,Australia,X800,Hunter New England,10130,2021-12-22
27,Armidale Regional (A),New South Wales,81.5,57.5,25368.0,2021-10-04,NSW,20675.0,14587.0,Australia,X800,Hunter New England,10130,2021-12-22
28,Armidale Regional (A),New South Wales,83.8,64.1,25368.0,2021-10-11,NSW,21258.0,16261.0,Australia,X800,Hunter New England,10130,2021-12-22
29,Armidale Regional (A),New South Wales,78.2,51.9,25368.0,2021-09-27,NSW,19838.0,13166.0,Australia,X800,Hunter New England,10130,2021-12-22
